site_location,availability,BHK,society,bath,balcony,total_sqft,area_type,price
Law College Road,Ready To Move,2,,2,2,1130,Super built-up  Area,40
Laxmi Road,Ready To Move,4,,4,1,2500,Built-up  Area,150
Lulla Nagar,Ready To Move,3,,3,3,1700,Carpet  Area,120
Mahatma Gandhi Road,Ready To Move,3,SKterAs,3,2,1549,Super built-up  Area,65
Mangalwar peth,Ready To Move,2,Goandn ,2,2,1400,Super built-up  Area,100
Manik Bagh,Ready To Move,2,MavarSa,2,2,1080,Super built-up  Area,50
Ma et yard,Ready To Move,2,Rilor C,2,2,1180,Built-up  Area,100
Model colony,Ready To Move,7,,7,3,780,Plot  Area,150
Mukund Nagar,Ready To Move,3,Saiewas,3,2,1800,Super built-up  Area,150
Mundhawa,18-Aug,2,SNnia E,2,1,1225,Super built-up  Area,67.38
Nagar Road,Ready To Move,1,,1,1,890,Built-up  Area,75
Nana Peth,Ready To Move,2,SLtias ,2,1,1005,Super built-up  Area,39.59
Narayan Peth,Ready To Move,2,BrlisCo,2,1,1320,Super built-up  Area,95
Narayangaon,Ready To Move,4,,2,1,1475,Built-up  Area,50
Navi Peth,18-Dec,3,Sanzaat,,,1564 - 1850,Super built-up  Area,99.745
Padmavati,Ready To Move,2,SSoraba,2,2,1110,Super built-up  Area,51
Parvati Darshan,18-Apr,2,,2,0,1300,Plot  Area,54
Pashan,Ready To Move,5,,3,1,600,Plot  Area,86
Paud Road,18-Aug,2,Pra un,2,1,1128,Super built-up  Area,65.35
Pirangut,22-May,2,SoineC ,2,1,1452.19,Super built-up  Area,100
Prabhat Road,Ready To Move,3,,3,2,2400,Plot  Area,290
Pune Railway Station,18-Jul,3,Rallse ,4,1,2600,Super built-up  Area,135
Rasta Peth,Ready To Move,3,Sowerew,4,2,2500,Super built-up  Area,325
Raviwar Peth,Ready To Move,2,,1,1,630,Built-up  Area,35
Sadashiv Peth,Ready To Move,2,,2,2,1243,Super built-up  Area,48.5
Sahakar Nagar,Ready To Move,2,Goe 3la,2,2,960,Built-up  Area,32
Salunke Vihar,Ready To Move,3,,3,2,1690,Super built-up  Area,100
Sasson Road,Ready To Move,2,JahanSa,2,1,735,Built-up  Area,35
Satara Road,Ready To Move,2,,2,2,1365,Super built-up  Area,73
Senapati Bapat Road,Ready To Move,5,Pumesim,5,0,2849,Super built-up  Area,300
Shaniwar Peth,Ready To Move,2,Mahosya,2,1,1420,Super built-up  Area,99.39
Shivaji Nagar,Ready To Move,3,,3,3,1570,Super built-up  Area,68
Shukrawar Peth,Ready To Move,2,Prityel,1,1,850,Super built-up  Area,32
Sinhagad Road,Ready To Move,3,Eladero,2,2,1575,Super built-up  Area,110
Somwar Peth,Ready To Move,2,Prtanha,2,2,1418,Super built-up  Area,104
Swargate,Ready To Move,2,,2,1,1050,Super built-up  Area,42
Tilak Road,Ready To Move,2,GSideS ,2,1,1065,Super built-up  Area,42.6
Uruli Devachi,Ready To Move,3,,3,0,1340,Built-up  Area,90
Vadgaon Budruk,Ready To Move,3,,3,2,1610,Super built-up  Area,92
Wadgaon Sheri,18-Aug,2,Sryalan,2,1,1160,Built-up  Area,33.5
Viman Nagar,Ready To Move,2,Srrnasa,2,2,1092,Super built-up  Area,44
Vishrant Wadi,Ready To Move,2,Peide L,2,2,1194,Super built-up  Area,47
Wagholi,Ready To Move,3,Apows M,3,1,1455,Super built-up  Area,61.5
Wakadewadi,18-Jun,1,DSestma,1,0,734,Super built-up  Area,19.82
Wanowrie,Ready To Move,2,SPontna,2,1,799,Built-up  Area,38
Warje,Ready To Move,3,,3,1,1896,Built-up  Area,75
Yerawada,Ready To Move,2,Miwel M,2,1,1100,Super built-up  Area,48
Alandi Road,Ready To Move,2,,2,1,1350,Built-up  Area,79
Ambegaon Budruk,Ready To Move,3,,3,1,1355,Super built-up  Area,61
Anandnagar,18-Apr,2,Pra un,2,1,1128,Super built-up  Area,65
Aundh,Ready To Move,2,,2,0,1350,Plot  Area,90
Aundh Road,Ready To Move,3,Lelia M,3,2,3875,Super built-up  Area,864
Balaji Nagar,Ready To Move,3,,3,2,1493,Super built-up  Area,82
Baner,Ready To Move,2,MBodsen,2,1,1098,Super built-up  Area,43.91
Baner road,Ready To Move,3,,2,1,1900,Super built-up  Area,170
Bhanda ar Road,Ready To Move,3,Sancya ,3,2,1460,Super built-up  Area,88
Bhavani Peth,Ready To Move,3,,4,3,2350,Super built-up  Area,285
Bibvewadi,Ready To Move,5,,5,3,1600,Plot  Area,140
Bopodi,Ready To Move,2,Hirio L,2,1,1091,Super built-up  Area,32
Budhwar Peth,Ready To Move,2,Inurave,2,3,1180,Super built-up  Area,42
Bund Garden Road,19-Dec,2,PrityFa,3,1,1366,Super built-up  Area,76.85
Camp,Ready To Move,3,DSureSi,3,2,1685,Super built-up  Area,95
Chandan Nagar,Ready To Move,2,Gencysi,2,3,1260,Built-up  Area,100
Dapodi,Ready To Move,3,Chpana ,3,2,3010,Plot  Area,200
Deccan Gymkhana,Ready To Move,3,,4,1,1330,Plot  Area,140
Dehu Road,Ready To Move,2,,2,0,1200,Plot  Area,130
Dhankawadi,18-Apr,2,Prtates,2,1,1346,Super built-up  Area,96.17
Dhayari Phata,18-Aug,1,Dhowsyo,1,0,630,Super built-up  Area,13.86
Dhole Patil Road,19-May,3,Kla  L,,,1446 - 1506,Super built-up  Area,98.94
Erandwane,Ready To Move,3,Brngsal,3,2,1850,Super built-up  Area,140
Fatima Nagar,Ready To Move,5,,2,0,2350,Plot  Area,423
Fergusson College Road,Ready To Move,2,GMown E,1,1,755,Super built-up  Area,34
Ganesh Peth,Ready To Move,5,,5,2,800,Plot  Area,98
Ganeshkhind,Ready To Move,2,Peide L,2,2,1194,Super built-up  Area,46
Ghorpade Peth,18-Feb,3,BrlisCo,5,,3850,Super built-up  Area,316
Ghorpadi,18-Jul,4,Cehosy ,4,2,4235,Super built-up  Area,365
Gokhale Nagar,18-Apr,1,,1,0,800,Plot  Area,52
Gultekdi,Ready To Move,3,Leino C,3,1,2250,Super built-up  Area,195
Guruwar peth,Ready To Move,2,Rancy R,2,2,1352,Super built-up  Area,68
Hadapsar,Ready To Move,3,Soitya ,3,2,2002,Super built-up  Area,112
Hadapsar Industrial Estate,Ready To Move,4,FeowsMe,5,1,4000,Plot  Area,280
Hingne Khurd,Ready To Move,2,KuncyRe,2,2,1060,Built-up  Area,45
Jangali Maharaj Road,Ready To Move,3,SoapeSu,2,1,1419.59,Super built-up  Area,59
Kalyani Nagar,Ready To Move,2,GrrvaGr,2,2,1196,Super built-up  Area,51.15
Karve Nagar,18-Dec,3,,2,2,1220,Built-up  Area,35.24
Karve Road,18-Apr,3,Shitt S,3,2,1595,Super built-up  Area,75
Kasba Peth,Ready To Move,2,Goeesem,2,3,1260,Super built-up  Area,75
Katraj,Ready To Move,2,,2,2,1100,Super built-up  Area,47
Khadaki,Ready To Move,2,Asneren,2,2,1550,Super built-up  Area,140
Khadki,Ready To Move,2,,2,3,1180,Super built-up  Area,52
Kharadi,18-Dec,4,Janaala,5,1,4000,Plot  Area,150
Kondhwa,Ready To Move,3,DLhtsnd,3,2,1662,Built-up  Area,85
Kondhwa Budruk,Ready To Move,2,,2,1,1285,Super built-up  Area,60
Kondhwa Khurd,Ready To Move,4,,4,1,1080,Plot  Area,75
Koregaon Pa ,Ready To Move,3,SoechHa,3,2,1862,Super built-up  Area,119
Kothrud,Ready To Move,2,GrrvaGr,2,2,1419,Super built-up  Area,48
Law College Road,14-Nov,3,,3,2,1410,Built-up  Area,43.71
Laxmi Road,Ready To Move,3,PrrvaPl,2,2,1560,Super built-up  Area,62.4
Lulla Nagar,Ready To Move,5,,4,3,1100,Plot  Area,150
Mahatma Gandhi Road,19-Nov,3,Bhe 2ko,3,3,1634,Super built-up  Area,78
Mangalwar peth,Ready To Move,5,Thessrm,5,3,5530,Plot  Area,627
Manik Bagh,Ready To Move,3,,2,3,1150,Built-up  Area,44
Ma et yard,18-May,2,,2,,1100,Super built-up  Area,53
Model colony,19-Mar,3,,3,1,1616,Super built-up  Area,65
Mukund Nagar,17-Dec,2,PuonsSe,2,1,1392,Super built-up  Area,99
Mundhawa,19-Dec,3,Ceezey ,3,1,1798,Super built-up  Area,120
Nagar Road,Ready To Move,3,Veisear,3,3,1675,Super built-up  Area,75
Nana Peth,Ready To Move,2,,2,1,792,Plot  Area,70
Narayan Peth,Ready To Move,5,,4,1,2000,Super built-up  Area,103
Narayangaon,Ready To Move,7,,7,3,600,Built-up  Area,89
Navi Peth,19-Jun,3,Raard B,3,2,1700,Super built-up  Area,124
Padmavati,Ready To Move,2,Vandak ,2,1,1248,Super built-up  Area,69
Parvati Darshan,Ready To Move,2,Sanetra,2,1,1147,Built-up  Area,54
Pashan,Ready To Move,2,HintsAp,2,2,1100,Super built-up  Area,40
Paud Road,Ready To Move,3,Rancy R,3,2,1527,Super built-up  Area,115
Pirangut,Ready To Move,5,,5,2,2400,Plot  Area,235
Prabhat Road,21-Dec,1,PrarePa,1,1,525,Super built-up  Area,25
Pune Railway Station,Ready To Move,2,RohtsHe,2,3,1100,Super built-up  Area,58
Rasta Peth,17-Dec,2,,2,2,1118,Super built-up  Area,37.5
Raviwar Peth,20-Dec,3,,3,1,1476,Super built-up  Area,75
Sadashiv Peth,Ready To Move,3,Krestee,3,1,2100,Built-up  Area,75
Sahakar Nagar,18-Apr,3,,2,2,1215,Super built-up  Area,46.5
Salunke Vihar,Ready To Move,2,Dimes E,2,1,1332,Super built-up  Area,79
Sasson Road,Ready To Move,2,,2,3,1350,Super built-up  Area,49
Satara Road,Ready To Move,4,,4,1,600,Plot  Area,81
Senapati Bapat Road,Ready To Move,2,RInceeg,2,2,1243,Super built-up  Area,46
Shaniwar Peth,Ready To Move,2,,2,2,1105,Super built-up  Area,49.73
Shivaji Nagar,Ready To Move,3,,2,1,1500,Plot  Area,200
Shukrawar Peth,Ready To Move,2,TRensre,2,2,1200,Super built-up  Area,50
Sinhagad Road,18-Jun,2,ViistLa,2,1,1251,Super built-up  Area,47.4
Somwar Peth,Ready To Move,2,Prrtht ,2,1,883,Super built-up  Area,45
Swargate,Ready To Move,3,Tencyes,2,3,1400,Super built-up  Area,67
Tilak Road,Ready To Move,3,Brway G,3,3,1800,Super built-up  Area,260
Uruli Devachi,Ready To Move,3,Soiniy ,3,2,1703,Super built-up  Area,113
Vadgaon Budruk,Ready To Move,5,,5,3,2500,Super built-up  Area,130
Wadgaon Sheri,Ready To Move,3,,3,,1250,Super built-up  Area,71
Viman Nagar,Ready To Move,2,DLhtsen,2,2,933,Super built-up  Area,43
Vishrant Wadi,Ready To Move,1,,1,1,461.82,Plot  Area,31.7
Wagholi,Ready To Move,2,Mapleer,2,1,1262,Super built-up  Area,75
Wakadewadi,Ready To Move,2,Rarthne,2,2,915,Super built-up  Area,48
Wanowrie,Ready To Move,3,Saite G,2,2,1370,Super built-up  Area,61.5
Warje,Ready To Move,2,Shise P,2,3,1210,Super built-up  Area,55
Yerawada,Ready To Move,3,Soianal,4,2,2392,Super built-up  Area,260
Alandi Road,18-Feb,3,,2,0,1500,Plot  Area,85
Ambegaon Budruk,Ready To Move,2,,2,3,1065,Super built-up  Area,50
Anandnagar,Ready To Move,4,,4,2,3100,Super built-up  Area,570
Aundh,Ready To Move,3,,3,3,1515,Super built-up  Area,65
Aundh Road,19-Dec,4,,4,,1800,Plot  Area,110
Balaji Nagar,Ready To Move,3,MNlam G,2,3,1445,Super built-up  Area,40.31
Baner,Ready To Move,3,Evood S,2,1,1300,Super built-up  Area,55
Baner road,Ready To Move,2,,2,0,989,Built-up  Area,60
Bhanda ar Road,Ready To Move,2,HRaniIb,2,1,1300,Super built-up  Area,85
Bhavani Peth,18-Jul,3,SunceEs,2,2,1185,Super built-up  Area,30.22
Bibvewadi,Ready To Move,5,,3,1,1350,Plot  Area,110
Bopodi,Ready To Move,2,,2,3,1045,Super built-up  Area,60
Budhwar Peth,18-Feb,2,,2,2,1205,Super built-up  Area,42.18
Bund Garden Road,Ready To Move,2,,2,1,1260,Super built-up  Area,75
Camp,Ready To Move,5,,5,2,1320,Plot  Area,199
Chandan Nagar,Ready To Move,3,,2,2,1500,Super built-up  Area,125
Dapodi,18-May,3,,2,2,1250,Super built-up  Area,42.5
Deccan Gymkhana,18-Jul,2,,2,2,1199,Built-up  Area,50
Dehu Road,Ready To Move,2,Maity W,2,1,1385,Super built-up  Area,83.09
Dhankawadi,Ready To Move,6,,5,3,1222,Plot  Area,250
Dhayari Phata,Ready To Move,2,RothaVa,2,1,1149,Super built-up  Area,75
Dhole Patil Road,Ready To Move,3,Adeatlm,3,2,2180,Super built-up  Area,170
Fergusson College Road,Ready To Move,5,Jalot C,5,0,1200,Plot  Area,195
Ganesh Peth,Ready To Move,3,Nia Hy,3,1,1818,Super built-up  Area,135
Ganeshkhind,Ready To Move,2,,2,2,1070,Super built-up  Area,33
Ghorpade Peth,Ready To Move,3,Brway G,3,2,1640,Super built-up  Area,241
Ghorpadi,Ready To Move,3,DSesthr,2,2,1350,Built-up  Area,54.6
Gokhale Nagar,Ready To Move,2,,1,1,630,Built-up  Area,27
Gultekdi,22-Jun,2,GoAirej,2,2,1430,Super built-up  Area,113
Guruwar peth,Ready To Move,3,,4,3,2430,Super built-up  Area,180
Hadapsar,Ready To Move,6,,7,3,1500,Plot  Area,220
Hadapsar Industrial Estate,Ready To Move,2,Clell D,2,3,1084,Super built-up  Area,55
Hingne Khurd,Ready To Move,3,Koagati,2,1,1186,Super built-up  Area,56
Jangali Maharaj Road,Ready To Move,2,Vaens G,2,2,1255,Built-up  Area,50
Kalyani Nagar,Ready To Move,4,SoronSa,5,3,3400,Super built-up  Area,240
Karve Nagar,18-Dec,3,Mahesr ,3,1,1541,Super built-up  Area,69.84
Karve Road,Ready To Move,4,Emine P,5,1,3596,Super built-up  Area,282
Kasba Peth,Ready To Move,2,NaonySy,2,2,1295,Super built-up  Area,70
Katraj,Ready To Move,3,,4,3,1000,Plot  Area,110
Khadaki,Ready To Move,3,Betatsi,3,,2820,Built-up  Area,285
Khadki,Ready To Move,3,SrncyRe,2,2,1370,Super built-up  Area,54.79
Kharadi,Ready To Move,2,DSgmax ,2,1,1100,Super built-up  Area,40
Kondhwa,18-Apr,4,Emceske,6,2,4772,Super built-up  Area,510
Kondhwa Budruk,Ready To Move,2,Brway G,2,1,1370,Super built-up  Area,170
Kondhwa Khurd,Ready To Move,3,,2,1,1370,Super built-up  Area,54.79
Koregaon Pa ,Ready To Move,2,DSillto,2,2,1200,Super built-up  Area,62
Kothrud,Ready To Move,4,,3,0,2000,Plot  Area,95
Law College Road,Ready To Move,4,ImiteEl,4,,3500,Built-up  Area,300
Laxmi Road,Ready To Move,5,,4,3,1200,Plot  Area,240
Lulla Nagar,Ready To Move,4,,5,2,2400,Plot  Area,253
Mahatma Gandhi Road,Ready To Move,3,,3,2,1220,Super built-up  Area,62
Mangalwar peth,Ready To Move,3,,3,2,1950,Built-up  Area,130
Manik Bagh,Ready To Move,2,ManceEl,2,3,1178,Super built-up  Area,73
Ma et yard,Ready To Move,3,Tavenew,3,2,1286,Super built-up  Area,61.44
Model colony,Ready To Move,2,Dhalsh ,2,2,1160,Super built-up  Area,42
Mukund Nagar,Ready To Move,2,DLhtsan,2,2,918,Super built-up  Area,55
Mundhawa,21-Dec,3,KonteiT,3,2,1563,Super built-up  Area,91.84
Nagar Road,18-Nov,2,,2,1,1326,Super built-up  Area,62.17
Nana Peth,Ready To Move,3,,2,2,1350,Super built-up  Area,140
Narayan Peth,17-Dec,4,Cehosy ,5,3,3960,Super built-up  Area,386
Narayangaon,Ready To Move,2,,2,2,1240,Super built-up  Area,39.06
Navi Peth,Ready To Move,2,JaaldEm,2,2,1325,Super built-up  Area,50
Padmavati,Ready To Move,2,Whosone,2,1,1100,Super built-up  Area,44
Parvati Darshan,Ready To Move,3,Lelia M,3,2,3875,Super built-up  Area,800
Pashan,Ready To Move,3,Mauner ,3,2,1605,Super built-up  Area,50
Paud Road,Ready To Move,5,,5,3,5600,Super built-up  Area,515
Pirangut,Ready To Move,2,Srhts P,2,1,1260,Super built-up  Area,60
Prabhat Road,19-Dec,3,Caycend,3,2,1553,Super built-up  Area,83.09
Pune Railway Station,Ready To Move,2,BMttaor,2,2,1280,Super built-up  Area,52
Rasta Peth,Ready To Move,3,Arade A,2,2,1550,Super built-up  Area,75
Raviwar Peth,Ready To Move,3,,2,2,1445,Super built-up  Area,125
Sadashiv Peth,Ready To Move,3,PintsAp,3,2,1550,Super built-up  Area,74
Sahakar Nagar,Ready To Move,3,SNdri N,2,1,1515,Super built-up  Area,80.91
Salunke Vihar,19-Mar,3,Skume R,2,1,1332,Super built-up  Area,86.12
Sasson Road,Ready To Move,3,Briumri,3,2,1652,Super built-up  Area,70
Satara Road,Ready To Move,3,Sonosty,3,1,1570,Super built-up  Area,105
Senapati Bapat Road,Ready To Move,4,Adeatlm,4,3,5400,Plot  Area,725
Shaniwar Peth,Ready To Move,1,DShtsow,1,1,794,Super built-up  Area,60
Shivaji Nagar,Ready To Move,3,,2,0,1200,Plot  Area,62
Shukrawar Peth,Ready To Move,4,RBRWAyo,3,2,3600,Built-up  Area,410
Sinhagad Road,Ready To Move,3,,3,2,1200,Plot  Area,175
Somwar Peth,Ready To Move,4,,3,1,1650,Super built-up  Area,220
Swargate,Ready To Move,4,,2,1,600,Plot  Area,85
Tilak Road,Ready To Move,3,VDenaWa,3,2,2800,Super built-up  Area,250
Uruli Devachi,Ready To Move,3,SocusHi,3,2,1750,Super built-up  Area,110
Vadgaon Budruk,Ready To Move,2,,2,1,1053,Built-up  Area,48
Wadgaon Sheri,21-Dec,3,PrarePa,3,2,1100,Super built-up  Area,53
Viman Nagar,Ready To Move,3,Srhan P,3,3,1665,Super built-up  Area,70
Vishrant Wadi,Ready To Move,4,PrstaTe,4,3,4051,Plot  Area,345
Wagholi,Ready To Move,4,,5,1,5500,Plot  Area,1500
Wakadewadi,Ready To Move,3,KBaleoy,3,2,1447,Built-up  Area,80
Wanowrie,Ready To Move,2,Soresea,2,1,1012,Built-up  Area,75
Warje,Ready To Move,3,Saestde,3,2,1900,Super built-up  Area,60
Yerawada,Ready To Move,2,AriosHe,2,2,1308,Super built-up  Area,92.66
Alandi Road,Ready To Move,4,,4,,3250,Super built-up  Area,230
Ambegaon Budruk,Ready To Move,1,,2,1,1351,Super built-up  Area,53
Anandnagar,Ready To Move,2,,2,2,1000,Super built-up  Area,22
Aundh,Ready To Move,4,,4,2,1200,Plot  Area,350
Aundh Road,18-Aug,2,BMineis,2,2,1140,Super built-up  Area,49.11
Balaji Nagar,22-May,4,SoineC ,4,0,2249.81 - 4112.19,Super built-up  Area,260.5
Baner,Ready To Move,3,,2,1,1250,Built-up  Area,55
Baner road,Ready To Move,3,SPavenc,3,3,1290,Super built-up  Area,45.15
Bhanda ar Road,Ready To Move,2,SoechHa,2,2,1424,Super built-up  Area,90
Bhavani Peth,Ready To Move,3,,2,2,1320,Super built-up  Area,60.6
Bibvewadi,Ready To Move,3,DLhtsnd,3,2,1662,Built-up  Area,85.5
Bopodi,Ready To Move,5,Kierser,5,3,8321,Super built-up  Area,2700
Budhwar Peth,Ready To Move,2,Dhalsh ,2,2,1200,Super built-up  Area,45
Bund Garden Road,Ready To Move,3,Jalonht,3,,1975,Built-up  Area,210
Camp,Ready To Move,3,,2,2,1295,Super built-up  Area,59.5
Chandan Nagar,Ready To Move,3,PaontWa,3,2,1777,Super built-up  Area,100
Dapodi,18-Apr,3,,3,,1900,Super built-up  Area,108
Deccan Gymkhana,17-Jul,3,Viens ,3,2,1576,Super built-up  Area,59.1
Dehu Road,Ready To Move,2,,2,3,1020,Super built-up  Area,41
Dhankawadi,Ready To Move,3,,3,3,2100,Super built-up  Area,170
Dhayari Phata,18-Aug,1,Prllsan,1,1,648,Super built-up  Area,31.75
Dhole Patil Road,Ready To Move,3,AdingSV,2,1,1167,Super built-up  Area,38
Erandwane,Ready To Move,7,,7,3,1000,Plot  Area,160
Fatima Nagar,Ready To Move,2,,2,2,1220,Super built-up  Area,50.89
Fergusson College Road,Ready To Move,3,Leora E,5,1,2350,Super built-up  Area,327
Ganesh Peth,Ready To Move,2,,2,1,1259,Super built-up  Area,67.4
Ganeshkhind,Ready To Move,4,,4,2,2000,Built-up  Area,82
Ghorpade Peth,Ready To Move,3,,3,1,1800,Super built-up  Area,80
Ghorpadi,Ready To Move,3,Coner C,3,2,1991,Built-up  Area,160
Gokhale Nagar,Ready To Move,3,,3,3,1665,Super built-up  Area,110
Gultekdi,20-Dec,2,,2,1,1234,Built-up  Area,61
Guruwar peth,Ready To Move,3,,2,2,1340,Super built-up  Area,64.31
Hadapsar,Ready To Move,2,,2,2,1170,Super built-up  Area,46.79
Hadapsar Industrial Estate,Ready To Move,2,,2,0,995,Built-up  Area,46
Hingne Khurd,Ready To Move,2,,2,2,1075,Super built-up  Area,60
Jangali Maharaj Road,18-Apr,2,,2,1,1025,Super built-up  Area,54.5
Kalyani Nagar,Ready To Move,3,NRodsen,3,2,2721,Super built-up  Area,113
Karve Nagar,Ready To Move,3,Bhmesy ,3,2,2000,Super built-up  Area,99
Karve Road,Ready To Move,4,Sanne E,4,3,2500,Super built-up  Area,155
Kasba Peth,Ready To Move,2,GMilse ,2,2,1325,Super built-up  Area,70
Katraj,18-Apr,2,Alestrb,2,3,1314,Super built-up  Area,68.2
Khadaki,21-Feb,3,,3,2,2265,Super built-up  Area,136
Khadki,Ready To Move,7,,7,0,4800,Built-up  Area,170
Kharadi,21-Dec,2,,2,1,1026,Super built-up  Area,41
Kondhwa,Ready To Move,3,,3,2,1200,Built-up  Area,66
Kondhwa Budruk,Ready To Move,3,ARineha,4,2,2220,Built-up  Area,65
Kondhwa Khurd,18-Sep,2,MCnexva,2,0,1070 - 1315,Super built-up  Area,51.22
Koregaon Pa ,18-Dec,2,Mahosya,2,1,1420,Super built-up  Area,99.39
Kothrud,Ready To Move,3,Ceiti I,4,1,1888,Super built-up  Area,95
Law College Road,18-May,2,Shestut,2,1,1300,Super built-up  Area,90.87
Laxmi Road,18-May,2,Pumesim,2,0,1216,Super built-up  Area,97.16
Lulla Nagar,19-Dec,4,,4,3,3000,Plot  Area,342
Mahatma Gandhi Road,Ready To Move,3,,3,2,1559,Built-up  Area,63
Mangalwar peth,Ready To Move,2,Prncyrn,2,1,1290,Super built-up  Area,87
Manik Bagh,Ready To Move,6,,6,,2400,Plot  Area,245
Ma et yard,18-Jun,1,,1,1,905,Built-up  Area,55
Model colony,Ready To Move,2,AnazaPl,2,,1069,Built-up  Area,55
Mukund Nagar,19-Aug,2,,2,1,829,Super built-up  Area,22.8
Mundhawa,Ready To Move,2,Proodt ,2,1,1900,Built-up  Area,200
Nagar Road,Ready To Move,5,,5,1,3040Sq. Meter,Built-up  Area,140
Nana Peth,Ready To Move,3,MJinele,3,2,1300,Built-up  Area,60
Narayan Peth,Ready To Move,2,Unm 2El,2,1,1115,Super built-up  Area,33.45
Narayangaon,Ready To Move,3,PhestOn,3,2,2409,Super built-up  Area,360
Navi Peth,Ready To Move,3,SoechHa,4,2,2150,Super built-up  Area,125
Padmavati,19-Mar,3,Unezes ,2,1,1305,Super built-up  Area,69
Parvati Darshan,20-Dec,2,GolusLi,2,1,1252,Super built-up  Area,56.32
Pashan,Ready To Move,5,,5,,2400,Plot  Area,250
Paud Road,18-Sep,2,,2,1,1200,Plot  Area,46.13
Pirangut,Ready To Move,3,,3,1,1750,Built-up  Area,130
Prabhat Road,Ready To Move,2,Assha A,1,1,545,Super built-up  Area,35
Pune Railway Station,Ready To Move,2,,2,1,1375,Plot  Area,105
Rasta Peth,Ready To Move,2,Chllsev,2,2,1313,Super built-up  Area,66.5
Raviwar Peth,Ready To Move,4,,4,1,3640,Plot  Area,275
Sadashiv Peth,20-Dec,3,,3,2,1693,Super built-up  Area,108
Sahakar Nagar,Ready To Move,2,ARnamru,2,1,1160,Super built-up  Area,41.75
Salunke Vihar,Ready To Move,3,,3,0,1200,Plot  Area,200
Sasson Road,Ready To Move,3,Mayne A,2,2,1255,Super built-up  Area,79
Satara Road,Ready To Move,4,,4,1,1000,Plot  Area,75
Senapati Bapat Road,Ready To Move,2,Pralmat,2,1,900,Built-up  Area,45
Shaniwar Peth,Ready To Move,3,Cerasy ,3,2,1700,Super built-up  Area,90
Shivaji Nagar,Ready To Move,3,Gonorir,3,1,1875,Carpet  Area,180
Shukrawar Peth,Ready To Move,3,Baveles,3,2,1700,Carpet  Area,88
Sinhagad Road,Ready To Move,3,Prncyrn,3,2,1749,Super built-up  Area,115
Somwar Peth,Ready To Move,2,,3,1,1500,Plot  Area,65
Swargate,Ready To Move,2,,2,1,1175,Super built-up  Area,48
Tilak Road,Ready To Move,2,,2,1,1280,Built-up  Area,60
Uruli Devachi,Ready To Move,2,Krllael,2,2,1200,Built-up  Area,50
Vadgaon Budruk,Ready To Move,3,DNeremo,2,2,1610,Super built-up  Area,115
Wadgaon Sheri,Ready To Move,2,GMown E,2,1,1070,Super built-up  Area,46
Viman Nagar,Ready To Move,2,,2,0,1200,Plot  Area,66
Vishrant Wadi,19-Dec,2,,2,1,1127,Super built-up  Area,50
Wagholi,Ready To Move,2,VKvenas,2,1,1210,Built-up  Area,102
Wakadewadi,Ready To Move,2,,2,1,600,Built-up  Area,23
Wanowrie,Ready To Move,4,Prtanha,4,3,4190,Super built-up  Area,380
Warje,Ready To Move,2,Shensit,2,2,1364,Super built-up  Area,70
Yerawada,Ready To Move,4,ArsiaEx,3,0,2268,Super built-up  Area,146
Alandi Road,Ready To Move,3,,2,2,1150,Super built-up  Area,77.5
Ambegaon Budruk,Ready To Move,2,,2,1,1146,Super built-up  Area,39.5
Anandnagar,Ready To Move,2,DSellil,2,2,1345,Built-up  Area,55
Aundh,Ready To Move,2,Laowsba,2,2,1110,Super built-up  Area,41
Aundh Road,Ready To Move,2,VBvenal,2,1,750,Built-up  Area,36
Balaji Nagar,Ready To Move,2,Puodse ,2,2,1156,Built-up  Area,49.5
Baner,Ready To Move,2,ARvasV ,2,1,1247,Super built-up  Area,59.8
